asin;title;author;imgUrl;productURL;stars;reviews;price;publishedDate;category_name
B081CSGDCS;Hands-On Docker for Microservices with Python: Design, deploy, and operate a complex system with multiple microservices using Docker and Kubernetes;Jaime Buelta;https://m.media-amazon.com/images/I/91enBJFSkNL._AC_UY218_.jpg;https://www.amazon.com/dp/B081CSGDCS;4.0;17;18.49;2019-11-22;Computers & Technology
B093BD8L34;PowerShell Pocket Reference: Portable Help for PowerShell Scripters;Lee Holmes;https://m.media-amazon.com/images/I/81YSBKyQnmS._AC_UY218_.jpg;https://www.amazon.com/dp/B093BD8L34;4.6;88;11.99;2021-04-22;Computers & Technology
B09NW3C9Y6;Mastering Kali Linux for Advanced Penetration Testing: Become a cybersecurity ethical hacking expert using Metasploit, Nmap, Wireshark, and Burp Suite, 4th Edition;Vijay Kumar Velu;https://m.media-amazon.com/images/I/81SuevZqbJL._AC_UY218_.jpg;https://www.amazon.com/dp/B09NW3C9Y6;4.5;39;31.72;2022-02-28;Computers & Technology
B00HRH3Q82;Operating System Concepts Essentials, 2nd Edition;Abraham Silberschatz;https://m.media-amazon.com/images/I/81fueuWGY0L._AC_UY218_.jpg;https://www.amazon.com/dp/B00HRH3Q82;3.9;58;37.66;2013-11-12;Computers & Technology
B0C52Y42N4;Linux for Beginners: A Comprehensive and Easy-to-Follow Guide to Mastering the Linux Operating System and Learn Linux Shell Effortlessly, With Simple Explanations and Practical Examples;Lukas Worley;https://m.media-amazon.com/images/I/717Y5sOpDLL._AC_UY218_.jpg;https://www.amazon.com/dp/B0C52Y42N4;4.4;18;9.99;2023-05-11;Computers & Technology
B08C5LSHGW;Docker for Developers: Develop and run your application with Docker containers using DevOps tools for continuous delivery;Richard Bullington-McGuire;https://m.media-amazon.com/images/I/91f+pTD8zvL._AC_UY218_.jpg;https://www.amazon.com/dp/B08C5LSHGW;4.4;35;22.39;2020-09-14;Computers & Technology
B08767GBWL;ITIL Foundation Essentials ITIL 4 Edition - The ultimate revision guide, second edition;Claire Agutter;https://m.media-amazon.com/images/I/71CZf6qnspL._AC_UY218_.jpg;https://www.amazon.com/dp/B08767GBWL;4.4;277;23.99;2020-04-15;Computers & Technology
B08KSKYSXD;Network Security, Firewalls, and VPNs (Issa);J. Michael Stewart;https://m.media-amazon.com/images/I/81STOoNcUML._AC_UY218_.jpg;https://www.amazon.com/dp/B08KSKYSXD;4.2;38;64.97;2020-10-15;Computers & Technology
B0C6R6JSQD;Practical OPNsense: Building Enterprise Firewalls with Open Source;Markus Stubbig;https://m.media-amazon.com/images/I/61ptTgx6hvL._AC_UY218_.jpg;https://www.amazon.com/dp/B0C6R6JSQD;0.0;0;16.99;2023-05-22;Computers & Technology
B0043D2ER2;Linux iptables Pocket Reference: Firewalls, NAT & Accounting (Pocket Reference (O'Reilly));Gregor N. Purdy;https://m.media-amazon.com/images/I/91SCpj9jpqL._AC_UY218_.jpg;https://www.amazon.com/dp/B0043D2ER2;4.6;106;6.98;;Computers & Technology
